-----------------------
Bone077:Bone077;60;0.3;0|8|8|;0.1;0|8|8|;0.1;0|8|8|;0.3;0|8|8|;0;0|8|8|;0;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
Bone082:Bone082;60;0.3;0|8|8|;0.1;0|8|8|;0.1;0|8|8|;0.3;0|8|8|;0;0|8|8|;0;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
Bone087:Bone087;60;0.3;0|8|8|;0.1;0|8|8|;0.1;0|8|8|;0.3;0|8|8|;0;0|8|8|;0;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
Bone097:Bone097;60;0.3;0|8|8|;0.1;0|8|8|;0.1;0|8|8|;0.3;0|8|8|;0;0|8|8|;0;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
Bone001:Bone001;60;0.7;0|8|8|;0.1;0|8|8|;0.1;0|8|8|;0.3;0|8|8|;0;0|8|8|;0;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
Bone005:Bone005;60;0.7;0|8|8|;0.1;0|8|8|;0.1;0|8|8|;0.3;0|8|8|;0;0|8|8|;0;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
Bone073:Bone073;60;0.7;0|8|8|;0.1;0|8|8|;0.1;0|8|8|;0.3;0|8|8|;0;0|8|8|;0;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
Bone009:Bone009;60;0.7;0|8|8|;0.1;0|8|8|;0.1;0|8|8|;0.3;0|8|8|;0;0|8|8|;0;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
Bone013:Bone013;60;0.7;0|8|8|;0.1;0|8|8|;0.1;0|8|8|;0.3;0|8|8|;0;0|8|8|;0;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
Bone075:Bone075;60;0.7;0|8|8|;0.1;0|8|8|;0.1;0|8|8|;0.3;0|8|8|;0;0|8|8|;0;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
Bone017:Bone017;60;0.7;0|8|8|;0.1;0|8|8|;0.1;0|8|8|;0.3;0|8|8|;0;0|8|8|;0;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
Bone023:Bone023;60;0.7;0|8|8|;0.1;0|8|8|;0.1;0|8|8|;0.3;0|8|8|;0;0|8|8|;0;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
Bone029:Bone029;60;0.7;0|8|8|;0.1;0|8|8|;0.1;0|8|8|;0.3;0|8|8|;0;0|8|8|;0;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
Bone035:Bone035;60;0.7;0|8|8|;0.1;0|8|8|;0.1;0|8|8|;0.3;0|8|8|;0;0|8|8|;0;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
