Bip001 Spine:(0.2, 0.0, 0.0);0.15;0.4;0;0;
Bip001 Spine1:(0.0, 0.0, 0.0);0.08;0.3;0;0;
-----------------------
Bone051:Bone051;60;0.7;0|8|8|;0.1;0|8|8|;0.1;0|8|8|;0.9;0|8|8|;0.05;1|8|8|0|0|1|1|34;0;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);1-Bip001 Spine1;
Bone055:Bone055;60;0.7;0|8|8|;0.1;0|8|8|;0.1;0|8|8|;0.9;0|8|8|;0.05;1|8|8|0|0|1|1|34;0;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);1-Bip001 Spine1;
Bone059:Bone059;60;0.7;0|8|8|;0.1;0|8|8|;0.1;0|8|8|;0.9;0|8|8|;0.05;1|8|8|0|0|1|1|34;0;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);1-Bip001 Spine1;
Bone001:Bone001;60;0.7;0|8|8|;0.1;0|8|8|;0.1;0|8|8|;0.3;0|8|8|;0.03;1|8|8|0|0|2|2|0;0;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);2-Bip001 Spine1-Bip001 Spine;
Bone007:Bone007;60;0.7;0|8|8|;0.1;0|8|8|;0.1;0|8|8|;0.3;0|8|8|;0.03;1|8|8|0|0|2|2|0;0;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);2-Bip001 Spine1-Bip001 Spine;
Bone004:Bone004;60;0.7;0|8|8|;0.1;0|8|8|;0.1;0|8|8|;0.3;0|8|8|;0.03;1|8|8|0|0|2|2|0;0;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);2-Bip001 Spine1-Bip001 Spine;
Bone083:Bone083;60;0.7;0|8|8|;0.1;0|8|8|;0.1;0|8|8|;0.7;0|8|8|;0.24;1|8|8|0|0|0.3074322|0.3074322|34;0;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);2-Bip001 Spine-Bip001 Spine1;
Bone078:Bone078;60;0.7;0|8|8|;0.1;0|8|8|;0.1;0|8|8|;0.7;0|8|8|;0.24;1|8|8|0|0|0.3074322|0.3074322|34;0;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);2-Bip001 Spine-Bip001 Spine1;
Bone013:Bone013;60;0.7;0|8|8|;0.1;0|8|8|;0.1;0|8|8|;0.3;0|8|8|;0.03;1|8|8|0|0|2|2|0;0;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);2-Bip001 Spine1-Bip001 Spine;
Bone016:Bone016;60;0.7;0|8|8|;0.1;0|8|8|;0.1;0|8|8|;0.3;0|8|8|;0.03;1|8|8|0|0|2|2|0;0;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);2-Bip001 Spine1-Bip001 Spine;
Bone010:Bone010;60;0.7;0|8|8|;0.1;0|8|8|;0.1;0|8|8|;0.3;0|8|8|;0.03;1|8|8|0|0|2|2|0;0;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);2-Bip001 Spine1-Bip001 Spine;
Bone068:Bone068;60;0.7;0|8|8|;0.1;0|8|8|;0.1;0|8|8|;0.7;0|8|8|;0.24;1|8|8|0|0|0.3074322|0.3074322|34;0;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);2-Bip001 Spine-Bip001 Spine1;
Bone073:Bone073;60;0.7;0|8|8|;0.1;0|8|8|;0.1;0|8|8|;0.7;0|8|8|;0.24;1|8|8|0|0|0.3074322|0.3074322|34;0;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);2-Bip001 Spine-Bip001 Spine1;
Bone019:Bone019;60;0.7;0|8|8|;0.1;0|8|8|;0.1;0|8|8|;0.3;0|8|8|;0;0|8|8|;0;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);2-Bip001 Spine1-Bip001 Spine;
Bone021:Bone021;60;0.7;0|8|8|;0.1;0|8|8|;0.1;0|8|8|;0.3;0|8|8|;0;0|8|8|;0;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);2-Bip001 Spine1-Bip001 Spine;
Bone033:Bone033;60;0.7;0|8|8|;0.1;0|8|8|;0.1;0|8|8|;0.3;0|8|8|;0;0|8|8|;0;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);2-Bip001 Spine1-Bip001 Spine;
Bone037:Bone037;60;0.7;0|8|8|;0.1;0|8|8|;0.1;0|8|8|;0.3;0|8|8|;0;0|8|8|;0;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);2-Bip001 Spine1-Bip001 Spine;
Bone135:Bone135;60;0.7;0|8|8|;0.01;0|8|8|;0.01;0|8|8|;0;0|8|8|;0;0|8|8|;0;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);0;
